443,Gare de Villeurbanne,73E,T3,MA,TRUE,FALSE,FALSE,553,08/12/2020 01:31,08/12/2020 06:00,Point,4.891167815,45.75622631
444,Charton,C7,T1,MA,TRUE,FALSE,FALSE,5858,08/12/2020 01:31,08/12/2020 06:00,Point,4.810666671,45.71179575
452,Chassieu Mairie,68,T7,MB,TRUE,FALSE,FALSE,10249,08/12/2020 01:31,08/12/2020 06:00,Point,4.971799125,45.7428675
452,Chassieu Mairie,76,T6,MA,TRUE,FALSE,FALSE,10249,08/12/2020 01:31,08/12/2020 06:00,Point,4.971799125,45.7428675
463,Chazay,C20,T3,MA,TRUE,FALSE,FALSE,1125,08/12/2020 01:31,08/12/2020 06:00,Point,4.786263164,45.74550404
463,Chazay,C20E,T2,MA,TRUE,FALSE,FALSE,1125,08/12/2020 01:31,08/12/2020 06:00,Point,4.786263164,45.74550404
466,Chemin Bressan,43,T4,MA,TRUE,FALSE,FALSE,1126,08/12/2020 01:31,08/12/2020 06:00,Point,4.834331721,45.8819843
3498,Lionel Terray,26,T5,MA,TRUE,FALSE,FALSE,3077,08/12/2020 01:31,08/12/2020 06:00,Point,4.900870929,45.72630956
3498,Lionel Terray,C15,T6,MA,TRUE,FALSE,FALSE,3077,08/12/2020 01:31,08/12/2020 06:00,Point,4.900870929,45.72630956
3498,Lionel Terray,C17,T1,MA,TRUE,FALSE,FALSE,3077,08/12/2020 01:31,08/12/2020 06:00,Point,4.900870929,45.72630956
10017,Francheville Bourg,C20,T3,MD,TRUE,FALSE,FALSE,3273,08/12/2020 01:31,08/12/2020 06:00,Point,4.764484294,45.73703938
10017,Francheville Bourg,C20E,T1,F1,TRUE,FALSE,FALSE,3273,08/12/2020 01:31,08/12/2020 06:00,Point,4.764484294,45.73703938
10017,Francheville Bourg,C20E,T3,MA,TRUE,FALSE,FALSE,3273,08/12/2020 01:31,08/12/2020 06:00,Point,4.764484294,45.73703938
10033,Z.I. Rocade Est,ZI58,T2,MB,FALSE,FALSE,FALSE,5405,08/12/2020 01:31,08/12/2020 06:00,Point,4.977771163,45.72341827
10036,Chassieu Jean Perrin,76,T3,MB,TRUE,FALSE,FALSE,3282,08/12/2020 01:31,08/12/2020 06:00,Point,4.971302487,45.73007881
10036,Chassieu Jean Perrin,ZI58,T1,MA,TRUE,FALSE,FALSE,3282,08/12/2020 01:31,08/12/2020 06:00,Point,4.971302487,45.73007881
10081,St-Irenee - Cx Blanche,46,T7,MA,TRUE,FALSE,FALSE,3073,08/12/2020 01:31,08/12/2020 06:00,Point,4.807754377,45.75514111
10081,St-Irenee - Cx Blanche,49,T6,MD,TRUE,FALSE,FALSE,3073,08/12/2020 01:31,08/12/2020 06:00,Point,4.807754377,45.75514111
10081,St-Irenee - Cx Blanche,C20,T3,F2,TRUE,FALSE,FALSE,3073,08/12/2020 01:31,08/12/2020 06:00,Point,4.807754377,45.75514111
10081,St-Irenee - Cx Blanche,C20E,T2,MA,TRUE,FALSE,FALSE,3073,08/12/2020 01:31,08/12/2020 06:00,Point,4.807754377,45.75514111
46207,Meyzieu les Panettes,,T4,MA,TRUE,FALSE,FALSE,790,08/12/2020 01:31,08/12/2020 06:00,Point,5.034977706,45.76613999
46215,Caluire Chemin Petit,70,T6,MA,TRUE,FALSE,FALSE,1136,08/12/2020 01:31,08/12/2020 06:00,Point,4.860168981,45.80432171
46215,Caluire Chemin Petit,S5,T6,MA,TRUE,FALSE,FALSE,1136,08/12/2020 01:31,08/12/2020 06:00,Point,4.860168981,45.80432171
490,Valpre,19,T2,MA,TRUE,FALSE,FALSE,1144,08/12/2020 01:31,08/12/2020 06:00,Point,4.787133058,45.77852019
853,Entree de Decines,67,T1,MA,TRUE,FALSE,FALSE,1395,08/12/2020 01:31,08/12/2020 06:00,Point,4.934557157,45.7674367
